Year,Organization,# publications (fractional count)
2020,Harbin Institute of Technology,2037.653687
2021,Harbin Institute of Technology,2368.558153
2022,Harbin Institute of Technology,2888.523546
2023,Harbin Institute of Technology,3165.1651465118503
2000,Huazhong University of Science and Technology,80.25952381
2001,Huazhong University of Science and Technology,144.5714286
2002,Huazhong University of Science and Technology,263.0972222
2003,Huazhong University of Science and Technology,334.1119048
2004,Huazhong University of Science and Technology,517.9313492
2005,Huazhong University of Science and Technology,827.5857143
2006,Huazhong University of Science and Technology,1086.780123
2007,Huazhong University of Science and Technology,1211.048629
2008,Huazhong University of Science and Technology,1137.243687
2009,Huazhong University of Science and Technology,1260.249933
2010,Huazhong University of Science and Technology,1077.035335
2011,Huazhong University of Science and Technology,1119.35826
2012,Huazhong University of Science and Technology,1018.351911
2013,Huazhong University of Science and Technology,1093.723124
2014,Huazhong University of Science and Technology,1091.155032
2015,Huazhong University of Science and Technology,1038.898074
2016,Huazhong University of Science and Technology,949.5939516
2017,Huazhong University of Science and Technology,1030.261184
2018,Huazhong University of Science and Technology,1285.575356
2019,Huazhong University of Science and Technology,1487.162009
2020,Huazhong University of Science and Technology,1576.504373
2021,Huazhong University of Science and Technology,1814.118955
2022,Huazhong University of Science and Technology,2042.859331
2023,Huazhong University of Science and Technology,2319.9378045427075
2000,Northwestern Polytechnical University,41.53333333
2001,Northwestern Polytechnical University,35.9
2002,Northwestern Polytechnical University,140.6619048
2003,Northwestern Polytechnical University,171.1666667
2004,Northwestern Polytechnical University,302.4595238
2005,Northwestern Polytechnical University,612.7333333
2006,Northwestern Polytechnical University,958.3436508
2007,Northwestern Polytechnical University,1248.236111
2008,Northwestern Polytechnical University,1321.698571
2009,Northwestern Polytechnical University,1441.360568
2010,Northwestern Polytechnical University,1614.708916
2011,Northwestern Polytechnical University,1482.905266
2012,Northwestern Polytechnical University,1205.776728
2013,Northwestern Polytechnical University,1246.963375
2014,Northwestern Polytechnical University,957.999063
2015,Northwestern Polytechnical University,751.7852994
2016,Northwestern Polytechnical University,860.5849256
2017,Northwestern Polytechnical University,1065.412374
2018,Northwestern Polytechnical University,1463.044375
2019,Northwestern Polytechnical University,1706.788923
2020,Northwestern Polytechnical University,1578.072816
2021,Northwestern Polytechnical University,1931.554434
2022,Northwestern Polytechnical University,2285.705931
2023,Northwestern Polytechnical University,2500.7036510513763
2000,Shanghai Jiao Tong University,121.6924603
2001,Shanghai Jiao Tong University,184.1103896
2002,Shanghai Jiao Tong University,455.0003968
2003,Shanghai Jiao Tong University,488.0166667
2004,Shanghai Jiao Tong University,905.4734488
2005,Shanghai Jiao Tong University,1208.28923
2006,Shanghai Jiao Tong University,1365.40202
2007,Shanghai Jiao Tong University,1298.685112
2008,Shanghai Jiao Tong University,1548.354315
2009,Shanghai Jiao Tong University,1571.448797
2010,Shanghai Jiao Tong University,1387.877137
2011,Shanghai Jiao Tong University,1385.348986
2012,Shanghai Jiao Tong University,1357.006779
2013,Shanghai Jiao Tong University,1501.26199
2014,Shanghai Jiao Tong University,1345.436881
2015,Shanghai Jiao Tong University,1242.46181
2016,Shanghai Jiao Tong University,1256.001148
2017,Shanghai Jiao Tong University,1428.694721
2018,Shanghai Jiao Tong University,1778.823351
2019,Shanghai Jiao Tong University,2133.279444
2020,Shanghai Jiao Tong University,2315.138347
2021,Shanghai Jiao Tong University,2701.479422
2022,Shanghai Jiao Tong University,2703.591828
2023,Shanghai Jiao Tong University,2941.9295381199304
2000,Tsinghua University,229.6468254
2001,Tsinghua University,411.6297619
2002,Tsinghua University,1385.668516
2003,Tsinghua University,993.9407287
2004,Tsinghua University,1101.589705
2005,Tsinghua University,1492.483369
2006,Tsinghua University,1776.952077
2007,Tsinghua University,1593.720482
2008,Tsinghua University,1669.453421
2009,Tsinghua University,1694.21161
2010,Tsinghua University,1686.644701
2011,Tsinghua University,1687.736029
2012,Tsinghua University,1602.286765
2013,Tsinghua University,1703.256962
2014,Tsinghua University,1788.579726
2015,Tsinghua University,1733.868887
2016,Tsinghua University,1692.761589
2017,Tsinghua University,1847.608866
2018,Tsinghua University,2192.031883
2019,Tsinghua University,2506.882504
2020,Tsinghua University,2580.141617
2021,Tsinghua University,2952.952012
2022,Tsinghua University,2979.223683
2023,Tsinghua University,3307.9522840273585
2000,Zhejiang University,117.952381
2001,Zhejiang University,173.9166667
2002,Zhejiang University,431.5333333
2003,Zhejiang University,512.1678571
2004,Zhejiang University,1061.75202
2005,Zhejiang University,1322.865476
2006,Zhejiang University,1482.115173
2007,Zhejiang University,1224.881674
2008,Zhejiang University,1218.753968
2009,Zhejiang University,1209.612155
2010,Zhejiang University,1371.283396
2011,Zhejiang University,1490.677063
2012,Zhejiang University,1330.058786
2013,Zhejiang University,1401.861605
2014,Zhejiang University,1187.26415
2015,Zhejiang University,1141.970415
2016,Zhejiang University,1010.474732
2017,Zhejiang University,1098.735852
2018,Zhejiang University,1302.360221
2019,Zhejiang University,1722.849634
2020,Zhejiang University,1854.778212
2021,Zhejiang University,2178.581499
2022,Zhejiang University,2472.636881
2023,Zhejiang University,2748.2136485955148
